"","run_accession","submission_accession","study_abstract","study_description"
"285","SRR1462072","SRA146236","C.diff FMT",NA
"286","SRR3131980","SRA342712","Dysbiotic colonization of the preterm infant gut microbiota may have lifelong effects on host health. The normal progression of colonization of preterm infants is a patterned, yet chaotic, process, and thought to be chiefly driven by host factors. While preterm infants almost universally receive early and often repeated and/or prolonged intravenous antibiotic therapy, it remains unclear if and how specific antibiotics alter the developmental progression of the gut microbiota in this population. By analyzing 401 fecal samples from 84 longitudinally-sampled preterm infants, we demonstrate that meropenem, cefotaxime, and ticarcillin-clavulanate significantly reduce species richness during their administration, and significantly enrich or deplete specific bacterial species and antibiotic resistance (AR) genes. In contrast, vancomycin and gentamicin, the antibiotics most commonly administered to preterm infants, have non-uniform effects on species richness. We show this response is predictable with 85% accuracy based on the relative abundance of only two bacterial species and two AR genes before treatment. To more fully investigate the role of the gut-associated resistome in response to specific antibiotics, we performed functional metagenomic selections for resistance to 16 clinically relevant antibiotics from a set of 21 preterm infantsâ€™ gut microbiota. Of the 794 AR genes identified, 79% had not previously been classified as providing any resistance phenotype. Combined with deep shotgun sequencing of all 401 fecal samples, we find that multidrug resistant Escherichia, Klebsiella, and Enterobacter species, which are commonly associated with nosocomial infections, dominate the preterm infant gut microbiota. We show that AR genes that are enriched following specific antibiotic treatments are generally unique to the specific treatment and highly correlated (p<0.001) with the abundance of a single species. The most notable exception includes ticarcillin-clavulanate and ampicillin, both of which enrich a large number of overlapping AR genes, and are highly correlated with Klebsiella pneumoniae species in the preterm infant gut microbiota. In addition to AR genes relevant to specific antibiotics likely providing a protective function, we show that all antibiotic treatments also result in widespread collateral microbiome impact through enrichment of AR genes with no known direct activity against the specific antibiotic treatment.",NA
"287","SRR6659466","SRA654526",NA,NA
"288","SRR6659481","SRA654526",NA,NA
"289","SRR6659565","SRA654526",NA,NA
"290","SRR5405649","SRA550824",NA,NA
"291","SRR6659424","SRA654526",NA,NA
"292","SRR5405673","SRA550824",NA,NA
"293","SRR3132422","SRA342712","Dysbiotic colonization of the preterm infant gut microbiota may have lifelong effects on host health. The normal progression of colonization of preterm infants is a patterned, yet chaotic, process, and thought to be chiefly driven by host factors. While preterm infants almost universally receive early and often repeated and/or prolonged intravenous antibiotic therapy, it remains unclear if and how specific antibiotics alter the developmental progression of the gut microbiota in this population. By analyzing 401 fecal samples from 84 longitudinally-sampled preterm infants, we demonstrate that meropenem, cefotaxime, and ticarcillin-clavulanate significantly reduce species richness during their administration, and significantly enrich or deplete specific bacterial species and antibiotic resistance (AR) genes. In contrast, vancomycin and gentamicin, the antibiotics most commonly administered to preterm infants, have non-uniform effects on species richness. We show this response is predictable with 85% accuracy based on the relative abundance of only two bacterial species and two AR genes before treatment. To more fully investigate the role of the gut-associated resistome in response to specific antibiotics, we performed functional metagenomic selections for resistance to 16 clinically relevant antibiotics from a set of 21 preterm infantsâ€™ gut microbiota. Of the 794 AR genes identified, 79% had not previously been classified as providing any resistance phenotype. Combined with deep shotgun sequencing of all 401 fecal samples, we find that multidrug resistant Escherichia, Klebsiella, and Enterobacter species, which are commonly associated with nosocomial infections, dominate the preterm infant gut microbiota. We show that AR genes that are enriched following specific antibiotic treatments are generally unique to the specific treatment and highly correlated (p<0.001) with the abundance of a single species. The most notable exception includes ticarcillin-clavulanate and ampicillin, both of which enrich a large number of overlapping AR genes, and are highly correlated with Klebsiella pneumoniae species in the preterm infant gut microbiota. In addition to AR genes relevant to specific antibiotics likely providing a protective function, we show that all antibiotic treatments also result in widespread collateral microbiome impact through enrichment of AR genes with no known direct activity against the specific antibiotic treatment.",NA
"294","ERR833553","ERA422605","The sunlight surface layer of the ocean is the largest             contiguous biome on the planet.  The photoautotrophic microbial communities             in the ocean fix roughly equal amounts of CO2 through photosynthesis as all             terrestrial biomes, despite a widespread paucity of multiple nutrients.             The accompanying bacterioplankton communities are important in recycling             nutrients for autotrophs, providing or requiring vitamin cofactors, thereby             influencing the biogeochemical cycles of important green house gasses             N2O, CO2, dimethyl sulfide, and methane. The bacterioplankon communities             contain a high level of diversity , particularly of uncultivated organisms             with unknown genome contents. Single cell genomics and metagenomic assemblies             have characterized the genomes of a few uncultivated organisms , yet a             substantial portion of the community remains uncharacterized.  Here we report             the collection, assembly, and analysis of 225 metagenomes collected from the             euphotic zone of every ocean at temperatures from 0Â°C to 30Â°C.  A global assembly             resulted in 3 Gbp of contiguous DNA assemblies, or approximately 100 genomes             , representing over 80% of all metagenomic reads.  A large majority of the             assemblies are cosmopolitan, with over 50% being found in 50% of the metagenomic             sites, indicating a widespread genomic commonality between geographicall             y separated communities. The emergent genome biogeography illuminates a             temperature-driven distribution of genomes at multiple taxonomic levels from             strain to phyla, while protein family level analyses at a global and genus level             point to nutrient availability dictating finer scale variation.  The assemblies             provide a genomic characterization of the so-called microbial dark matter in this             environment at an unprecedented scale and point to lineage specific metabolic             specialization both in core metabolism and nutrient acquisition, a potential niche             diversification that leads to metasymbiosis within a complex community.","The sunlight surface layer of the ocean is the largest             contiguous biome on the planet.  The photoautotrophic microbial communities             in the ocean fix roughly equal amounts of CO2 through photosynthesis as all             terrestrial biomes, despite a widespread paucity of multiple nutrients.             The accompanying bacterioplankton communities are important in recycling             nutrients for autotrophs, providing or requiring vitamin cofactors, thereby             influencing the biogeochemical cycles of important green house gasses             N2O, CO2, dimethyl sulfide, and methane. The bacterioplankon communities             contain a high level of diversity , particularly of uncultivated organisms             with unknown genome contents. Single cell genomics and metagenomic assemblies             have characterized the genomes of a few uncultivated organisms , yet a             substantial portion of the community remains uncharacterized.  Here we report             the collection, assembly, and analysis of 225 metagenomes collected from the             euphotic zone of every ocean at temperatures from 0Â°C to 30Â°C.  A global assembly             resulted in 3 Gbp of contiguous DNA assemblies, or approximately 100 genomes             , representing over 80% of all metagenomic reads.  A large majority of the             assemblies are cosmopolitan, with over 50% being found in 50% of the metagenomic             sites, indicating a widespread genomic commonality between geographicall             y separated communities. The emergent genome biogeography illuminates a             temperature-driven distribution of genomes at multiple taxonomic levels from             strain to phyla, while protein family level analyses at a global and genus level             point to nutrient availability dictating finer scale variation.  The assemblies             provide a genomic characterization of the so-called microbial dark matter in this             environment at an unprecedented scale and point to lineage specific metabolic             specialization both in core metabolism and nutrient acquisition, a potential niche             diversification that leads to metasymbiosis within a complex community."
"295","SRR6747737","SRA660299",NA,NA
"296","SRR6129767","SRA616919","Metagenomic analysis of microbial communities found in Antarctic aquatic environments",NA
"297","ERR2244208","ERA1179513",NA,NA
"298","SRR6659539","SRA654526",NA,NA
"299","SRR7166919","SRA704437",NA,NA
"300","SRR6659506","SRA654526",NA,NA
"301","SRR1754157","SRA218428","Characterization of microbial communities associated with cilantro",NA
"302","SRR3132424","SRA342712","Dysbiotic colonization of the preterm infant gut microbiota may have lifelong effects on host health. The normal progression of colonization of preterm infants is a patterned, yet chaotic, process, and thought to be chiefly driven by host factors. While preterm infants almost universally receive early and often repeated and/or prolonged intravenous antibiotic therapy, it remains unclear if and how specific antibiotics alter the developmental progression of the gut microbiota in this population. By analyzing 401 fecal samples from 84 longitudinally-sampled preterm infants, we demonstrate that meropenem, cefotaxime, and ticarcillin-clavulanate significantly reduce species richness during their administration, and significantly enrich or deplete specific bacterial species and antibiotic resistance (AR) genes. In contrast, vancomycin and gentamicin, the antibiotics most commonly administered to preterm infants, have non-uniform effects on species richness. We show this response is predictable with 85% accuracy based on the relative abundance of only two bacterial species and two AR genes before treatment. To more fully investigate the role of the gut-associated resistome in response to specific antibiotics, we performed functional metagenomic selections for resistance to 16 clinically relevant antibiotics from a set of 21 preterm infantsâ€™ gut microbiota. Of the 794 AR genes identified, 79% had not previously been classified as providing any resistance phenotype. Combined with deep shotgun sequencing of all 401 fecal samples, we find that multidrug resistant Escherichia, Klebsiella, and Enterobacter species, which are commonly associated with nosocomial infections, dominate the preterm infant gut microbiota. We show that AR genes that are enriched following specific antibiotic treatments are generally unique to the specific treatment and highly correlated (p<0.001) with the abundance of a single species. The most notable exception includes ticarcillin-clavulanate and ampicillin, both of which enrich a large number of overlapping AR genes, and are highly correlated with Klebsiella pneumoniae species in the preterm infant gut microbiota. In addition to AR genes relevant to specific antibiotics likely providing a protective function, we show that all antibiotic treatments also result in widespread collateral microbiome impact through enrichment of AR genes with no known direct activity against the specific antibiotic treatment.",NA
"303","SRR6823967","SRA665595",NA,NA
"304","SRR4101308","SRA458525","fresh bagged spinach spiked with STEC",NA
"305","SRR2088926","SRA274315","Water quality is currently assessed primarily at the tap using culture-based indicators of microbial pollution, such as coliform bacteria and E. coli. This paradigm is restrictive because it relies on century-old technologies and does not consider the broader impact of microbial pollution on the larger ecosystem. Furthermore, this approach enables only reactive responses focused on human health rather than proactive measures that protect water at its source: the watershed.Our goal is to change the way we monitor water quality in our watersheds. Advances in genomic technology have enabled us to broadly study the microbial community composition of watersheds and to understand how this community changes in response to environmental perturbations. By broadly surveying the microbial community in our watersheds we intend to discover novel microbial indicators associated with polluted versus healthy watersheds. Our study has three principal goals:1) To use metagenomics to measure the impact of pollution on the bacterial communities in different watersheds.2) To use amplicon sequencing of various microbial genes including the 16S and 18S rRNA and gp23 genes to quantify the microbiome, which consist of viruses, bacteria, and small eukaryotes (which include protists and fungi), of different watersheds.3) To create novel tests that monitor these microbial community changes in order to detect pollution and pinpoint the specific source of the pollution.By creating new tests that focus on overall watershed health, as opposed to just human health, we will provide the advanced tools needed to protect our watersheds.",NA
"306","SRR6659441","SRA654526",NA,NA
"307","SRR6659538","SRA654526",NA,NA
"308","SRR5249717","SRA537487","Quasi-metagenomics for rapid trace-back of pathogens from complex matrices: a case study with Listeria monocytogenes from ice-cream linked to an outbreak",NA
"309","ERR2508898","ERA1286970",NA,NA
"310","SRR5253625","SRA537985",NA,NA
"311","SRR6659581","SRA654526",NA,NA
"312","ERR209391","ERA179067","The microbial diversity of environments like the human gut extends far beyond what is covered by reference genomes. Here we present a method for exhaustive and unsupervised co-abundance gene binning across a series of highly complex metagenomic samples. As the method does not rely on previously sequenced reference genomes it allows for discovery of new species, viruses and clonal heterogeneity. We demonstrate the method on human gut microbiome data and identify 7,381 co-abundance gene groups (CAGs) ranging in size from 3 to 6,319 genes. The CAGs represent a wide variety of biological entities including microbial genomes, phages and clonal differences. We name the 741 largest of these metagenomic species (MGS), because they correspond to microbial species. In addition, we establish microbial host affiliations by dependency-associations for many small CAGs. Longitudinal sampling in the same individuals indicates that some of these dependency-associations are important for the persistence of their microbial host","The microbial diversity of environments like the human gut extends far beyond what is covered by reference genomes. Here we present a method for exhaustive and unsupervised co-abundance gene binning across a series of highly complex metagenomic samples. As the method does not rely on previously sequenced reference genomes it allows for discovery of new species, viruses and clonal heterogeneity. We demonstrate the method on human gut microbiome data and identify 7,381 co-abundance gene groups (CAGs) ranging in size from 3 to 6,319 genes. The CAGs represent a wide variety of biological entities including microbial genomes, phages and clonal differences. We name the 741 largest of these metagenomic species (MGS), because they correspond to microbial species. In addition, we establish microbial host affiliations by dependency-associations for many small CAGs. Longitudinal sampling in the same individuals indicates that some of these dependency-associations are important for the persistence of their microbial host"
"313","SRR2083214","SRA274052","To identify viruses, freshwater samples were collected from six different locations of Lake Ontario and Lake Erie",NA
"314","SRR5040900","SRA496996","The characterisation of virome of Cameroonian fruit bats to identify novel viruses of zoonotic potential",NA
"315","SRR5665036","SRA573379","Colorectal cancer is the second leading cause of cancer-related death in the United States and is a primary cause of morbidity and mortality throughout the world. Its risk has been linked to changes in colonic bacterial community composition. Viruses are another important component of the colonic microbial community, however they have yet to be studied in colorectal cancer despite their oncogenic potential. We evaluated the colorectal cancer virome (virus community) in stool using a cohort of 90 human subjects with either healthy, adenomatous (precancerous), or cancerous colons. We utilized 16S rRNA gene, whole shotgun metagenomic, and purified virus metagenomic sequencing methods to compare the colorectal cancer virome to the bacterial community. We identified no detectable difference in diversity (alpha or beta) between healthy, adenomatous, or cancerous colonic samples, but more sophisticated random forest models identified striking changes in the virus community. The majority of the cancer-associated virome consisted of temperate bacteriophages, suggesting that the community was indirectly linked to colorectal cancer by modulating bacterial community structure and function. Our data suggested that the influential phages did not exclusively infect influential bacteria, but rather acted through the community as a whole. These results provide foundational evidence that bacteriophage communities are associated with colorectal cancer and likely impact cancer progression by altering the bacterial host communities.",NA
"316","SRR5275429","SRA539266","The presence of advanced fibrosis in nonalcoholic fatty liver disease (NAFLD) is the most important predictor of liver mortality. The aim of this study was to examine the diagnosticaccuracy of a gut-microbiota derived metagenomic signature for detecting the presence of advanced fibrosis in NAFLD. In this prospective study, we characterized the microbiome signatures associated with advanced fibrosis (defined as stage 3 or 4 fibrosis) in uniquely well characterized biopsy- and imaging-phenotyped patients with NAFLD. Gut microbiomecompositions of the patients were determined using whole-genome shotgun sequencing of DNA extracted from stool samples.",NA
"317","SRR6787324","SRA662580",NA,NA
"318","SRR5253634","SRA537985",NA,NA
"319","ERR2227865","ERA1167337",NA,NA
"320","SRR4101323","SRA458525","fresh bagged spinach spiked with STEC",NA
"321","SRR6659583","SRA654526",NA,NA
"322","SRR1980350","SRA246099","Paired mucosal j-pouch and afferent limb samples from postoperative ulcerative colitis and familial ademonatous polyposis patients from Mount Sinai Hospital, Toronto. Samples were collected during pouch endoscopy and 16S sequenced.",NA
"323","SRR1980350","SRA246099","This is a prospective, longitudinal collection of stool samples from infants at risk for disease. Infants from Finland and Estonia were recruited at birth based on HLA risk genotyping. Parents collected their infantsâ€™ stool at approximately monthly intervals and promptly stored the sample in the freezer prior to shipment for sample processing and sequencing. The cohort comprised of 33 infants, 11 of which seroconverted to serum autoantibody positivity and of those, four developed T1D within the three year time-frame of this study.",NA
"324","ERR209493","ERA179067","The microbial diversity of environments like the human gut extends far beyond what is covered by reference genomes. Here we present a method for exhaustive and unsupervised co-abundance gene binning across a series of highly complex metagenomic samples. As the method does not rely on previously sequenced reference genomes it allows for discovery of new species, viruses and clonal heterogeneity. We demonstrate the method on human gut microbiome data and identify 7,381 co-abundance gene groups (CAGs) ranging in size from 3 to 6,319 genes. The CAGs represent a wide variety of biological entities including microbial genomes, phages and clonal differences. We name the 741 largest of these metagenomic species (MGS), because they correspond to microbial species. In addition, we establish microbial host affiliations by dependency-associations for many small CAGs. Longitudinal sampling in the same individuals indicates that some of these dependency-associations are important for the persistence of their microbial host","The microbial diversity of environments like the human gut extends far beyond what is covered by reference genomes. Here we present a method for exhaustive and unsupervised co-abundance gene binning across a series of highly complex metagenomic samples. As the method does not rely on previously sequenced reference genomes it allows for discovery of new species, viruses and clonal heterogeneity. We demonstrate the method on human gut microbiome data and identify 7,381 co-abundance gene groups (CAGs) ranging in size from 3 to 6,319 genes. The CAGs represent a wide variety of biological entities including microbial genomes, phages and clonal differences. We name the 741 largest of these metagenomic species (MGS), because they correspond to microbial species. In addition, we establish microbial host affiliations by dependency-associations for many small CAGs. Longitudinal sampling in the same individuals indicates that some of these dependency-associations are important for the persistence of their microbial host"
"325","SRR1196567","SRA146236","C.diff FMT",NA
"326","SRR3933346","SRA442324","ESRF shotgun metagenomics project",NA
"327","SRR1437700","SRA146236","C.diff FMT",NA
"328","SRR6659405","SRA654526",NA,NA
"329","SRR1437926","SRA146236","C.diff FMT",NA
"330","SRR7403879","SRA725858",NA,NA
"331","SRR6659425","SRA654526",NA,NA
"332","SRR1462598","SRA146236","C.diff FMT",NA
"333","ERR2002983","ERA953988",NA,NA
"334","SRR1950705","SRA248917","Human Skin Microbiome",NA
"335","SRR6659436","SRA654526",NA,NA
"336","SRR3132347","SRA342712","Dysbiotic colonization of the preterm infant gut microbiota may have lifelong effects on host health. The normal progression of colonization of preterm infants is a patterned, yet chaotic, process, and thought to be chiefly driven by host factors. While preterm infants almost universally receive early and often repeated and/or prolonged intravenous antibiotic therapy, it remains unclear if and how specific antibiotics alter the developmental progression of the gut microbiota in this population. By analyzing 401 fecal samples from 84 longitudinally-sampled preterm infants, we demonstrate that meropenem, cefotaxime, and ticarcillin-clavulanate significantly reduce species richness during their administration, and significantly enrich or deplete specific bacterial species and antibiotic resistance (AR) genes. In contrast, vancomycin and gentamicin, the antibiotics most commonly administered to preterm infants, have non-uniform effects on species richness. We show this response is predictable with 85% accuracy based on the relative abundance of only two bacterial species and two AR genes before treatment. To more fully investigate the role of the gut-associated resistome in response to specific antibiotics, we performed functional metagenomic selections for resistance to 16 clinically relevant antibiotics from a set of 21 preterm infantsâ€™ gut microbiota. Of the 794 AR genes identified, 79% had not previously been classified as providing any resistance phenotype. Combined with deep shotgun sequencing of all 401 fecal samples, we find that multidrug resistant Escherichia, Klebsiella, and Enterobacter species, which are commonly associated with nosocomial infections, dominate the preterm infant gut microbiota. We show that AR genes that are enriched following specific antibiotic treatments are generally unique to the specific treatment and highly correlated (p<0.001) with the abundance of a single species. The most notable exception includes ticarcillin-clavulanate and ampicillin, both of which enrich a large number of overlapping AR genes, and are highly correlated with Klebsiella pneumoniae species in the preterm infant gut microbiota. In addition to AR genes relevant to specific antibiotics likely providing a protective function, we show that all antibiotic treatments also result in widespread collateral microbiome impact through enrichment of AR genes with no known direct activity against the specific antibiotic treatment.",NA
"337","SRR1202095","SRA137082","This project focuses on the Amazon River-to-tropical Atlantic Ocean continuum because of both its immense scale and its apparent sensitivity to climate variability and anthropogenic forcing. The riverâ€™s effect on the ocean depends not only on the river hydrology, but what the river carries and how those components are modified during transit from their terrestrial or aquatic origins. We brought together limnologists and oceanographers in an integrated project to improve our understanding of carbon exchange between the atmosphere and this tropical river continuum, focusing on the lower reach, nearshore, and offshore tropical Atlantic, with the goal of improving predictive capabilities under differing climate change scenarios.",NA
"338","SRR6435961","SRA643176",NA,NA
"339","SRR2992956","SRA319014","Metagenomic sequencing to identify and measure the abundances of microorganisms present in stool samples from athletes",NA
"340","SRR6659386","SRA654526",NA,NA
"341","SRR1106550","SRA124013","Unbiased next-generation sequencing (NGS) approaches enable comprehensive pathogen detection in the clinical microbiology laboratory, and have numerous applications for public health surveillance, outbreak investigation, and the diagnosis of infectious diseases. However, practical NGS deployment of the technology is hindered by the bioinformatics challenge of analyzing results accurately and in a clinically relevant timeframe. Here we describe SURPI (sequence-based ultra-rapid pathogen identification), a computational pipeline for pathogen identification from complex metagenomic NGS data generated from clinical samples. Deployable on both cloud-based and standalone servers, SURPI leverages two state-of-the-art aligners for accelerated analyses, SNAP and RAPSearch, which are as accurate as existing bioinformatics tools but orders of magnitude faster in performance. In fast mode, SURPI detects viruses and bacteria by scanning datasets of 7 - 500 million reads in 11 minutes - 5 hours, while in comprehensive mode, all known microorganisms are identified, followed by de novo assembly and protein homology searches for divergent viruses in 50 minutes â€“ 16 hours. To date, SURPI has been used for pathogen identification in over 960 clinical samples comprising more than 9 billion sequences, and has directly contributed to real-time actionable diagnosis of infections in acutely ill patients.",NA
"342","SRR6659558","SRA654526",NA,NA
"343","SRR7280934","SRA717240",NA,NA
"344","SRR7664961","SRA756589",NA,NA
"345","SRR1437967","SRA146236","C.diff FMT",NA
"346","SRR1491549","SRA146236","C.diff FMT",NA
"347","ERR2227767","ERA1167337",NA,NA
"348","SRR1491550","SRA146236","C.diff FMT",NA
"349","SRR1930177","SRA165362","By human microbiome sequencing we can better understand how host evolutionary and ontogenetic history is reflected in the microbial function. However, there has been no information on the gut metagenome configuration in hunter-gatherer populations, posing a gap in our knowledge of gut microbiota (GM)-host mutualism arising from a lifestyle that describes over 90% of human evolutionary history. Here, we present the first metagenomic analysis of GM from Hadza hunter-gatherers of Tanzania, showing a unique enrichment in metabolic pathways that align with the dietary and environmental factors characteristic of their foraging lifestyle. We found that the Hadza GM is adapted for broad spectrum carbohydrate metabolism, reflecting the complex polysaccharides in their diet. Furthermore, the Hadza GM is equipped for branched-chain amino acid degradation and aromatic amino acid biosynthesis. Resistome functionality demonstrates the existence of antibiotic resistance genes in a population with little to no antibiotic exposure, indicating the ubiquitous presence of environmentally derived resistances. Our results demonstrate how the functional specificity of the GM correlates with environment and lifestyle, and how complexity from the exogenous environment is matched by endogenous homeostasis. The Hadza gut metagenome structure allows to appreciate the co-adaptive functional role of the GM in complementing the human physiology, providing a better understanding of the versatility of human life and subsistence.",NA
"350","SRR6748117","SRA660317",NA,NA
"351","SRR7217581","SRA710613",NA,NA
"352","SRR7524158","SRA740133",NA,NA
"353","SRR6323390","SRA633984",NA,NA
"354","SRR1491240","SRA146236","C.diff FMT",NA
"355","SRR6908027","SRA675736",NA,NA
"356","SRR5131927","SRA510677","Meta-genomic and -transcriptomic samples from the HOE Legacy 2 expedition.",NA
"357","SRR3132006","SRA342712","Dysbiotic colonization of the preterm infant gut microbiota may have lifelong effects on host health. The normal progression of colonization of preterm infants is a patterned, yet chaotic, process, and thought to be chiefly driven by host factors. While preterm infants almost universally receive early and often repeated and/or prolonged intravenous antibiotic therapy, it remains unclear if and how specific antibiotics alter the developmental progression of the gut microbiota in this population. By analyzing 401 fecal samples from 84 longitudinally-sampled preterm infants, we demonstrate that meropenem, cefotaxime, and ticarcillin-clavulanate significantly reduce species richness during their administration, and significantly enrich or deplete specific bacterial species and antibiotic resistance (AR) genes. In contrast, vancomycin and gentamicin, the antibiotics most commonly administered to preterm infants, have non-uniform effects on species richness. We show this response is predictable with 85% accuracy based on the relative abundance of only two bacterial species and two AR genes before treatment. To more fully investigate the role of the gut-associated resistome in response to specific antibiotics, we performed functional metagenomic selections for resistance to 16 clinically relevant antibiotics from a set of 21 preterm infantsâ€™ gut microbiota. Of the 794 AR genes identified, 79% had not previously been classified as providing any resistance phenotype. Combined with deep shotgun sequencing of all 401 fecal samples, we find that multidrug resistant Escherichia, Klebsiella, and Enterobacter species, which are commonly associated with nosocomial infections, dominate the preterm infant gut microbiota. We show that AR genes that are enriched following specific antibiotic treatments are generally unique to the specific treatment and highly correlated (p<0.001) with the abundance of a single species. The most notable exception includes ticarcillin-clavulanate and ampicillin, both of which enrich a large number of overlapping AR genes, and are highly correlated with Klebsiella pneumoniae species in the preterm infant gut microbiota. In addition to AR genes relevant to specific antibiotics likely providing a protective function, we show that all antibiotic treatments also result in widespread collateral microbiome impact through enrichment of AR genes with no known direct activity against the specific antibiotic treatment.",NA
"358","SRR5405713","SRA550824",NA,NA
"359","SRR4098589","SRA458169","Metagenomic sequencing of samplings from clinical infections. Sample types include stool, nasopharynx, skin, etc.",NA
"360","SRR1909509","SRA246099","Paired mucosal j-pouch and afferent limb samples from postoperative ulcerative colitis and familial ademonatous polyposis patients from Mount Sinai Hospital, Toronto. Samples were collected during pouch endoscopy and 16S sequenced.",NA
"361","SRR1909509","SRA246099","This is a prospective, longitudinal collection of stool samples from infants at risk for disease. Infants from Finland and Estonia were recruited at birth based on HLA risk genotyping. Parents collected their infantsâ€™ stool at approximately monthly intervals and promptly stored the sample in the freezer prior to shipment for sample processing and sequencing. The cohort comprised of 33 infants, 11 of which seroconverted to serum autoantibody positivity and of those, four developed T1D within the three year time-frame of this study.",NA
"362","SRR1462507","SRA146236","C.diff FMT",NA
"363","SRR4098574","SRA458169","Metagenomic sequencing of samplings from clinical infections. Sample types include stool, nasopharynx, skin, etc.",NA
"364","ERR1914632","ERA872065",NA,NA
"365","SRR1490890","SRA146236","C.diff FMT",NA
"366","SRR7524164","SRA740133",NA,NA
"367","ERR2508902","ERA1286970",NA,NA
"368","SRR1491130","SRA146236","C.diff FMT",NA
"369","SRR5883625","SRA594872",NA,NA
"370","ERR2227556","ERA1167337",NA,NA
"371","SRR7217496","SRA710613",NA,NA
"372","SRR4101297","SRA458525","fresh bagged spinach spiked with STEC",NA
"373","ERR833498","ERA422605","The sunlight surface layer of the ocean is the largest             contiguous biome on the planet.  The photoautotrophic microbial communities             in the ocean fix roughly equal amounts of CO2 through photosynthesis as all             terrestrial biomes, despite a widespread paucity of multiple nutrients.             The accompanying bacterioplankton communities are important in recycling             nutrients for autotrophs, providing or requiring vitamin cofactors, thereby             influencing the biogeochemical cycles of important green house gasses             N2O, CO2, dimethyl sulfide, and methane. The bacterioplankon communities             contain a high level of diversity , particularly of uncultivated organisms             with unknown genome contents. Single cell genomics and metagenomic assemblies             have characterized the genomes of a few uncultivated organisms , yet a             substantial portion of the community remains uncharacterized.  Here we report             the collection, assembly, and analysis of 225 metagenomes collected from the             euphotic zone of every ocean at temperatures from 0Â°C to 30Â°C.  A global assembly             resulted in 3 Gbp of contiguous DNA assemblies, or approximately 100 genomes             , representing over 80% of all metagenomic reads.  A large majority of the             assemblies are cosmopolitan, with over 50% being found in 50% of the metagenomic             sites, indicating a widespread genomic commonality between geographicall             y separated communities. The emergent genome biogeography illuminates a             temperature-driven distribution of genomes at multiple taxonomic levels from             strain to phyla, while protein family level analyses at a global and genus level             point to nutrient availability dictating finer scale variation.  The assemblies             provide a genomic characterization of the so-called microbial dark matter in this             environment at an unprecedented scale and point to lineage specific metabolic             specialization both in core metabolism and nutrient acquisition, a potential niche             diversification that leads to metasymbiosis within a complex community.","The sunlight surface layer of the ocean is the largest             contiguous biome on the planet.  The photoautotrophic microbial communities             in the ocean fix roughly equal amounts of CO2 through photosynthesis as all             terrestrial biomes, despite a widespread paucity of multiple nutrients.             The accompanying bacterioplankton communities are important in recycling             nutrients for autotrophs, providing or requiring vitamin cofactors, thereby             influencing the biogeochemical cycles of important green house gasses             N2O, CO2, dimethyl sulfide, and methane. The bacterioplankon communities             contain a high level of diversity , particularly of uncultivated organisms             with unknown genome contents. Single cell genomics and metagenomic assemblies             have characterized the genomes of a few uncultivated organisms , yet a             substantial portion of the community remains uncharacterized.  Here we report             the collection, assembly, and analysis of 225 metagenomes collected from the             euphotic zone of every ocean at temperatures from 0Â°C to 30Â°C.  A global assembly             resulted in 3 Gbp of contiguous DNA assemblies, or approximately 100 genomes             , representing over 80% of all metagenomic reads.  A large majority of the             assemblies are cosmopolitan, with over 50% being found in 50% of the metagenomic             sites, indicating a widespread genomic commonality between geographicall             y separated communities. The emergent genome biogeography illuminates a             temperature-driven distribution of genomes at multiple taxonomic levels from             strain to phyla, while protein family level analyses at a global and genus level             point to nutrient availability dictating finer scale variation.  The assemblies             provide a genomic characterization of the so-called microbial dark matter in this             environment at an unprecedented scale and point to lineage specific metabolic             specialization both in core metabolism and nutrient acquisition, a potential niche             diversification that leads to metasymbiosis within a complex community."
"374","SRR3933327","SRA442324","ESRF shotgun metagenomics project",NA
"375","SRR5106395","SRA503253","This study presented the bacterial diversity of human stool sample from the Vogt-Koyanagi-Harada disease patients in Chinese population",NA
"376","SRR1215851","SRA150208","Risk Stratification and Identification of Immunogenetic and Microbial Markers of Rapid Disease Progression in Children with Crohnâ€™s Disease.",NA
"377","ERR1913801","ERA872065",NA,NA
"378","SRR7125612","SRA699853",NA,NA
"379","SRR1211526","SRA150208","Risk Stratification and Identification of Immunogenetic and Microbial Markers of Rapid Disease Progression in Children with Crohnâ€™s Disease.",NA
"380","SRR1917928","SRA246515","Human bacterial communities associated with oropharyngeal, vaginal, and gastrointestinal specimens",NA
